twitter.id,twitter.text,twitter.author_id,twitter.keyword,twitter.retweet_count,twitter.reply_count,twitter.like_count,twitter.quote_count
1574179567207579648,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1423506154152468482,269,0,0,0,NULL
1574179646719102976,RT @mariya06025697: Roadmap guide to become data analyst,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#MachineLearning #DataScience #Cybersecurity #BigData #Analytics #AI #IIoT #Pytho…,Programming,132470809,143,0,0,0,NULL
1574179769373138945,RT @mariya06025697: Roadmap guide to become data analyst,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#MachineLearning #DataScience #Cybersecurity #BigData #Analytics #AI #IIoT #Pytho…,Programming,1147393613099180032,143,0,0,0,NULL
1574179807016935429,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,310611785,265,0,0,0,NULL
1574179848721158144,RT @mariya06025697: Roadmap guide to become data analyst,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#MachineLearning #DataScience #Cybersecurity #BigData #Analytics #AI #IIoT #Pytho…,Programming,1247056914719989761,143,0,0,0,NULL
1574179889015816192,RT @DarinFeinstein: CBDC is weaponized money,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Restrict civilian accounts that have low social scores,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lock down businesses that support oppo…,Programming,1277304791295762433,300,0,0,0,NULL
1574180068548812801,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1322880557592702976,264,0,0,0,NULL
1574180116623773698,RT @ujjwalscript: These 4 tricks will make your code blazingly fast (for programming problem solving):,Programming,203074095,199,0,0,0
1574180180020674560,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1511454437679808515,264,0,0,0,NULL
1574180379484774400,RT @AI_Advice: The PERFECT Way to Learn #Python in 10 Days! 🙃,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#5G #100DaysofCode #AI #Analytics #BigData #Cloud #Coding #Cybersecurity #Da…,Programming,1400833739584794626,160,0,0,0,NULL
1574180393565429760,RT @AI_Advice: The PERFECT Way to Learn #Python in 10 Days! 🙃,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#5G #100DaysofCode #AI #Analytics #BigData #Cloud #Coding #Cybersecurity #Da…,Programming,1347291458278080513,160,0,0,0,NULL
1574180401081470976,RT @AI_Advice: The PERFECT Way to Learn #Python in 10 Days! 🙃,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#5G #100DaysofCode #AI #Analytics #BigData #Cloud #Coding #Cybersecurity #Da…,Programming,1354047563280707586,160,0,0,0,NULL
1574180545453379584,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1475518857121079304,257,0,0,0,NULL
1574180750215114752,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,612297853,255,0,0,0,NULL
1574180991559688192,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,3412165955,254,0,0,0,NULL
1574181008450134018,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,66200245,254,0,0,0,NULL
1574181108367097856,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1192090529812664320,254,0,0,0,NULL
1574181144349794304,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,263976189,252,0,0,0,NULL
1574181168681041927,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,417338801,252,0,0,0,NULL
1574181239082209280,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,349945534,250,0,0,0,NULL
1574181395609530370,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1018787309649620992,250,0,0,0,NULL
1574181669078241283,"RT @KirkDBorne: Tiny #Python Projects — 21 small fun projects for Python beginners designed to build programming skill, teach new algorithm…",Programming,976331891308576770,113,0,0,0
1574182032489398272,"RT @vasilisonka: taking a break from regular daemon targaryen programming, today is harwin strong episode ",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
https://t.co/BajmQEgzCf,Programming,1570241618049105922,243,0,0,0,NULL
1574182294155411456,"RT @novel_hadush: 🇪🇹|n government is responsible for most of the atrocities documented in the report, adding that some of these crimes are…",Ethiopia,1494050871310700550,113,0,0,0
1574182302132879361,RT @DrTedros: .@UN’s International Commission of Human Rights Experts on #Ethiopia has concluded that ‘crimes against humanity’ have been c…,Ethiopia,1443373944149577731,2634,0,0,0
1574182302694850561,"RT @JuttaUrpilainen: Always good to engage with partners in a frank way. At #UNGA meeting with @DemekeHasen, I advocated for both parties t…",Ethiopia,1561415234727944192,183,0,0,0
1574182305165344769,RT @Africax5: The original Christianity of Egypt was established by the apostle Mark in AD 42 in Ethiopia (Coptic Church--Coptic Orthodox C…,Ethiopia,801449618,192,0,0,0
1574182309099708417,RT @RealHauleGluck: #Ethiopia has consistently shown its disregard for int'l human rights law. Not only has @AbiyAhmedAli's government bloc…,Ethiopia,1539005345116332037,349,0,0,0
1574182310852775936,RT @NeaminZeleke: The #ICHREE report on #Ethiopia reveals that the experts are serving as political tools for external elements who want to…,Ethiopia,1435057296,621,0,0,0
1574182310957621248,"RT @novel_hadush: 🇪🇹|n government is responsible for most of the atrocities documented in the report, adding that some of these crimes are…",Ethiopia,1563573772715966465,113,0,0,0
1574182313809694720,"RT @Hilina21: 📢 Kaari Betty Murungi, said the 🇪🇹|n govt responsible for war crime and crime against humanity, which left 90% of the populat…",Ethiopia,1332485546111692801,190,0,0,0
1574182317861621761,"RT @novel_hadush: The three-member Commission says widespread, horrific acts of violence have been committed since fighting in Tigray provi…",Ethiopia,1494050871310700550,128,0,0,0
1574182323075022851,RT @NatyYifru: ❗On today's episode on @reyotmedia with @Tewodros_Tse ,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
~ @AbiyAhmedAli plan of forced conscription of #Ethiopia youth.,NULL,NULL,NULL,NULL,NULL,NULL,NULL
~ Wi…,Ethiopia,1520555913840635904,223,0,0,0,NULL
1574182327265030144,"RT @samirasawlani: Doctors at the biggest hospital in Tigray say they have just days supply left of insulin, as the resumption of fighting…",Ethiopia,1438954847588528133,261,0,0,0
1574182334970339328,RT @DendeaTaye: I read the UN Human Right Commission report on Tigray Ethiopia. The study was said to have been conducted from far away pro…,Ethiopia,1463105906321735684,971,0,0,0
1574182337503711234,RT @RealHauleGluck: 🇪🇹Air strikes on populated areas in #Tigray have become a disgustingly common tactic by PM @AbiyAhmedAli. With drones p…,Ethiopia,1539005345116332037,318,0,0,0
1574182342838702081,"RT @TINAgebrmariem: Dear, @_AfricanUnion, you have been assigned to lead the peace talks between Ethiopia and Tigray. However, you are quie…",Ethiopia,1499100861494140939,146,0,0,0
1574182351399428096,RT @Milash_Weldu_: 💬U.N. investigators are accusing the Ethiopian government of committing serious violations in the Tigray region which co…,Ethiopia,1482558985064566787,267,0,0,0
1574182352393105408,RT @Tigray3128: Hospitals in Tigray have exhausted their supplies and are now forced to close. The Children Of Tigray are receiving inadequ…,Ethiopia,1535707204317155328,104,0,0,0
1574182353613688833,"RT @tvbempt: ""Drain the ocean to catch the fish"" is Ethiopia's favourite war tactic. To catch the enemy, you target the people supporting t…",Ethiopia,1359714489067732992,151,0,0,0
1574182354796834817,"RT @SXdhjj: Andrew Boulton, president of IDF, said “This is really a sort of humanitarian crime,” for the conditions in Tigray.",NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
So @KenyaM…,Ethiopia,1520555913840635904,252,0,0,0,NULL
1574182361004228608,RT @hrit_hailu: ★Dear: @SenatorLeahy,NULL,NULL,NULL,NULL,NULL,NULL
Strong action is needed to reverse Ethiopia’s dangerous trajectory and this bill will apply pressure o…,Ethiopia,1499100861494140939,232,0,0,0,NULL
1574182364397424640,RT @mariya06025697: Roadmap guide to become data analyst,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
#MachineLearning #DataScience #Cybersecurity #BigData #Analytics #AI #IIoT #Pytho…,Programming,182833832,143,0,0,0,NULL
1574182372219781120,"RT @Milash_Weldu_: 💬The Commission chair, Kaari Betty Murungi, said the 🇪🇹|n govt and its allies have looted and destroyed goods indispensa…",Ethiopia,1482558985064566787,272,0,0,0
1574182372295249920,"RT @Hilina21: ⚠️ The Commission chair, Kaari Betty Murungi, said the 🇪🇹|n govt and its allies have looted and destroyed goods indispensable…",Ethiopia,1369462634660167681,126,0,0,0
1574182379098284032,"RT @tdf21454687: Since November 2020, the ENDF, EDF, and their allies began to systematically loot and destroy goods indispensable to the s…",Ethiopia,1494823624666083328,245,0,0,0
1574182388950786049,"RT @GaroweOnline: Deadly diseases such as measles, tetanus and whooping cough are on the rise in #Ethiopia's #Tigray after vaccination rate…",Ethiopia,1120294293716054020,648,0,0,0
1574182390511157250,"RT @Hilina21: ⚠️ The Commission chair, Kaari Betty Murungi, said the 🇪🇹|n govt and its allies have looted and destroyed goods indispensable…",Ethiopia,1490190144854446081,126,0,0,0
1574182391127605248,RT @mUm35DvIO: U.N. investigators are accusing the Ethiopian government of committing serious violations in the Tigray region which could a…,Ethiopia,1499100861494140939,175,0,0,0
