twitter.id,twitter.text,twitter.author_id,twitter.keyword,twitter.retweet_count,twitter.reply_count,twitter.like_count,twitter.quote_count
1571665432431710208,Impro Reggae #freestyle #vibes #Beat #reggea #music #Rift #harmonica #musique #atypical #mood #improvisation https://t.co/uFRD9zLWsB,Reggea,755152363556601856,1,0,1,0
1571686842000633856,"@gpdkaluma this was before the law was passed and the great brains were contemplating it as you were busy taking beer and lost in reggea 😂
Now it has dawn on you https://t.co/Cfvgk9dkaW",Reggea,388214482,0,0,0,0
1571712699683450880,@Jabali_Jr @osoroKE @Reggaewailer @IamHumbaba Jamaa analala akiota tu reggea,Reggea,924289890203979776,0,2,0,0
1571718675140608000,"@amlakredsquare NEW SINGLE ""GANJA FREE"" https://t.co/fut5Nv8b3o  ... FROM HIS UPCOMING EP ""GANJA FREE"" #reggea #JSO #dancehalllink #reggaemusic",Reggea,175837292,0,0,0,0
1571746099961937921,"@it_sonia_ @lianatarshy Madem wa reggea ndo wangori kutwerk, fact",Reggea,1445031671955329036,0,1,1,0
1571750162497667072,"@lifesGOAT Reggea and calypso..
Weka #KotvsMiguna",Reggea,1549615348248346626,0,1,2,0
1571755960086970369,@Ggozo1 @it_sonia_ @lianatarshy Wewe ni dem wa reggea😂?,Reggea,882576893060493313,0,1,0,0
1571762356912259072,RT @_mzit: Sunday reggea chills with my 4.20 tools has me at my best.,Reggea,1542331009601081344,1,0,0,0
1571775557376802818,"@Browngalnessa @VybezRadioKE @deejaypatiz SWEET REGGEA MUSIC 
#Vybearyad",Reggea,1504542764419194883,0,0,0,0
1571775578725810177,@VybezRadioKE @Browngalnessa @deejaypatiz Nkubu never ever loss the only favourite show assapa only on @VybezRadioKE  Nobody can Stop Reggea #vybeayard,Reggea,1502904900962951168,0,0,1,0
1571777299837603841,"Post (S.A.S)DUB ♥️💛💚 
Mature ,safe , with Beautiful People  💥💥💥
.
.
.
.
.
.
.
.
.
#sas #sasdub #cumasound #reggea #reggeamusic #music #vibes #goodvibes #beautifulpeople #dzjgwanso @ The Exciting https://t.co/nLT2LWN55r",Reggea,720985513684037636,0,0,2,0
1571778299185008641,Reggea song 🎼🎼 https://t.co/5t58QVpaob 🤑 The 🌈 Plain 🍦 Of 💦 Kurus #happinessmood #lovesongsandcrap #peacefulness,Reggea,1471250529481375749,0,0,0,0
1571797347818000384,mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1285410093522092035,9,2,17,0
1571797624860311558,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1244365647242498050,9,0,0,0
1571797780875866112,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1551192160329924611,9,0,0,0
1571798264718163968,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1488969178749018122,9,0,0,0
1571799007952834566,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,996656006515052544,9,0,0,0
1571802164959363074,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1542331009601081344,9,0,0,0
1571802217107148804,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1337437554648502273,9,0,0,0
1571802419314528257,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1441860052273426433,9,0,0,0
1571802803118505985,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1354314701694504960,9,0,0,0
1571802935990046720,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1503821505481818114,9,0,0,0
1571809379124486145,@mapengo_ Reggea,Reggea,1522166371119157248,0,0,0,0
1571809816376647681,RT @KeObangi: mi naye ukikuja kwangu lunch time tutakula tu reggea adi utii😂😂😂💔,Reggea,1487497397160890369,9,0,0,0
1571827718643191808,ouvir reggea me trás uma coisa tão boa,Reggea,1371202169970561027,1,2,0,0
1571830580748091394,RT @louka_labelle: Impro Reggae #freestyle #vibes #Beat #reggea #music #Rift #harmonica #musique #atypical #mood #improvisation https://t.c…,Reggea,1518901039155589120,1,0,0,0
1571840903320567808,@neeyaney kak request lovin you reggea edit,Reggea,1152066313570803712,0,1,0,0
1571850495446106113,RT @vodca_climao: ouvir reggea me trás uma coisa tão boa,Reggea,1564341790941089795,1,0,0,0
1571855055258525696,"@lelelx @SnMartinFX Marcelo Salas es mestizo y jamás se identifico con la bandera del reggea, es más hasta los tontos útiles lo tratan de facho",Reggea,867579970780102656,0,1,7,0
1571858179092533249,watu huskiza reggea si munishow naweza towa wapi hi track https://t.co/VGFw87OuAy,Reggea,1249074760472055818,0,0,0,0
1571860284255469569,"DJ DEUKS KENYA REGGEA MADNESS2K22
https://t.co/MzKcT7IA7P",Reggea,1543184028416856064,0,0,0,0
1571860446562451463,"@OrgulloBordado @SnMartinFX cada vez hablando + weás!

A ver... Mestizo es casi todo chileno

No sé qué es ""reggea""

¿Un mapuche no puede ser facho?

¿Conoces la planilla completa del club y el origen de los jugadores?

Más del 12% de los chilenos se considera perteneciente a pueblos indígenas (Censo 2017)",Reggea,118409034,0,2,1,0
1571871065483218945,@Megrata_ 😂😂😂 inacheza reggea kama za ummo,Reggea,1570355553708253184,0,0,0,0
1571889131617230849,https://t.co/BWJs9jfkEX - REGGEA KEEP IT LOCKED KDJL THE CULTURE,Reggea,31277160,0,0,0,0
1571903254723792898,@osibrai Reggea lane 🤌🏽🤌🏽,Reggea,558890939,0,1,1,0
1571907922782834692,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1571913227725930496,@SpotifyMexico Los Mejores del reggea (en esp e ing) 🇯🇲😎🚬,Reggea,4481780654,0,1,0,0
1571929331202490372,"@_fels1 @N_GuyaliOO1 Apo Israel Vibration walidungwa na kisu wakiwa reggea ,alafu wakatoa io ngoma https://t.co/wyj5WsxMuz",Reggea,895206468739375104,0,1,0,0
1571939087053103104,"Reggea Music  can bê played at any time,anywhere
Just pure quality and vibes💯",Reggea,1418819999884525572,0,0,0,0
1572034596681687042,"@portalblackpink reggea
I'm voting for #SHUTDOWN by #BLACKPINK       as My Trending Song Choice!",Reggea,1004490384540602369,0,0,0,0
1572096561299046400,RT @WinkyDFan: CONGRATULATIONS TO Winky D DiBigman and Nutty O for being nominated for Afrima 2022  Regional &amp; Continental categories. The…,Reggea,1325039240615518208,4,0,0,0
1572162764487143428,Now playing Track 5 REGGEA ROCK PARTY by IVAN CHRISTIE!,Reggea,185656772,0,0,0,0
1572164654796886017,NowPlaying Rampage Reggea Buz - Rampage Reggea Buz S.O.A.z Radio stream https://t.co/vOV2u6YmMc 10:03,Reggea,40050247,0,0,0,0
